experiment_id,boronate/boronic ester smiles,bromide smiles,product_smiles,reaction_image,solvent,base,ligand,palladium source,temperature,comment,yield,round_id,raw_readout,internal_standard_redout
18B,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,Brc(n1)[nH]c2c1cccc2,c(cc1c2cccc1)(c(n3)[nH]c4c3cccc4)c5c2cccc5,,"1,4-dioxane:water",K3PO4,XPhos,XPhosPdG4,60,,0.48,1,,
,,,,,,,,,,,,,,
19A,O=C1O[B-]2(C3=COC=C3)OC(C[N+](C1)2C)=O,BrC1=CC=C(NC=C2)C2=C1,C1(NC=C2)=C2C=C(C3=COC=C3)C=C1,,"1,4-dioxane:water",K3PO4,P(tBu)3,P(tBu)3PdG4,60,,0.95,1,,
19B,O=C1O[B-]2(C3=COC=C3)OC(C[N+](C1)2C)=O,BrC1=CC=C(NC=C2)C2=C1,C1(NC=C2)=C2C=C(C3=COC=C3)C=C1,,"1,4-dioxane:water",K3PO4,P(tBu)3,P(tBu)3PdG4,60,,0.89,1,,
20A,O=C1O[B@@-]2(C3=C(OC)N=NC(OC)=C3)OC(C[N+](C1)2C)=O,CC1=C(C)C(Br)=C(C)C(C)=C1C,CC1=C(C)C(C)=C(C)C(C)=C1C2=C(OC)N=NC(OC)=C2,,"1,4-dioxane:water",K3PO4,P(tBu)3,P(tBu)3PdG4,60,,0.2,1,,
20B,O=C1O[B@@-]2(C3=C(OC)N=NC(OC)=C3)OC(C[N+](C1)2C)=O,CC1=C(C)C(Br)=C(C)C(C)=C1C,CC1=C(C)C(C)=C(C)C(C)=C1C2=C(OC)N=NC(OC)=C2,,"1,4-dioxane:water",K3PO4,P(tBu)3,P(tBu)3PdG4,60,,0.48,1,,
21A,O=C1O[B-]2(C3=NN(C4CCCCO4)C=C3)OC(C[N+](C1)2C)=O,O=C(OCC)C1CCCC2=C1N=C(Br)S2,O=C(OCC)C1CCCC2=C1N=C(C3=NN(C4CCCCO4)C=C3)S2,,"1,4-dioxane:water",K3PO4,P(tBu)3,P(tBu)3PdG4,60,,0.27,1,,
21B,O=C1O[B-]2(C3=NN(C4CCCCO4)C=C3)OC(C[N+](C1)2C)=O,O=C(OCC)C1CCCC2=C1N=C(Br)S2,O=C(OCC)C1CCCC2=C1N=C(C3=NN(C4CCCCO4)C=C3)S2,,"1,4-dioxane:water",K3PO4,P(tBu)3,P(tBu)3PdG4,60,,0.22,1,,
22A,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,O=Cc1[nH]c(Br)cc1,O=Cc1[nH]c(c(cc2c3cccc2)c4c3cccc4)cc1,,"1,4-dioxane:water",K3PO4,P(tBu)3,P(tBu)3PdG4,60,,0.37,1,,
22B,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,O=Cc1[nH]c(Br)cc1,O=Cc1[nH]c(c(cc2c3cccc2)c4c3cccc4)cc1,,"1,4-dioxane:water",K3PO4,P(tBu)3,P(tBu)3PdG4,60,,0.38,1,,
23A,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,CC1=CC=C(N=C1)Br,CC(C=C1)=CN=C1c(cc2c3cccc2)c4c3cccc4,,"1,4-dioxane:water",K3PO4,P(tBu)3,P(tBu)3PdG4,60,,0.82,1,,
23B,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,CC1=CC=C(N=C1)Br,CC(C=C1)=CN=C1c(cc2c3cccc2)c4c3cccc4,,"1,4-dioxane:water",K3PO4,P(tBu)3,P(tBu)3PdG4,60,,0.75,1,,
24A,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,Brc(n1)[nH]c2c1cccc2,c(cc1c2cccc1)(c(n3)[nH]c4c3cccc4)c5c2cccc5,,"1,4-dioxane:water",K3PO4,P(tBu)3,P(tBu)3PdG4,60,,0.33,1,,
24B,O=C1O[B@-]2(c(cc3c4cccc3)c5c4cccc5)OC(C[N+](C1)2C)=O,Brc(n1)[nH]c2c1cccc2,c(cc1c2cccc1)(c(n3)[nH]c4c3cccc4)c5c2cccc5,,"1,4-dioxane:water",K3PO4,P(tBu)3,P(tBu)3PdG4,60,,0.34,1,,
,,,,,,,,,,,,,,
25A,O=C1O[B-]2(C3=COC=C3)OC(C[N+](C1)2C)=O,BrC1=CC=C(NC=C2)C2=C1,C1(NC=C2)=C2C=C(C3=COC=C3)C=C1,,"1,4-dioxane:water",K3PO4,Pcy3,Pcy3PdG4,60,,0.92,1,,
25B,O=C1O[B-]2(C3=COC=C3)OC(C[N+](C1)2C)=O,BrC1=CC=C(NC=C2)C2=C1,C1(NC=C2)=C2C=C(C3=COC=C3)C=C1,,"1,4-dioxane:water",K3PO4,Pcy3,Pcy3PdG4,60,,0.89,1,,
26A,O=C1O[B@@-]2(C3=C(OC)N=NC(OC)=C3)OC(C[N+](C1)2C)=O,CC1=C(C)C(Br)=C(C)C(C)=C1C,CC1=C(C)C(C)=C(C)C(C)=C1C2=C(OC)N=NC(OC)=C2,,"1,4-dioxane:water",K3PO4,Pcy3,Pcy3PdG4,60,,0.04,1,,
26B,O=C1O[B@@-]2(C3=C(OC)N=NC(OC)=C3)OC(C[N+](C1)2C)=O,CC1=C(C)C(Br)=C(C)C(C)=C1C,CC1=C(C)C(C)=C(C)C(C)=C1C2=C(OC)N=NC(OC)=C2,,"1,4-dioxane:water",K3PO4,Pcy3,Pcy3PdG4,60,,0.04,1,,
